Date,Open,High,Low,Close,Volume
2024-02-23,103.91,104.90,101.68,102.24,1002621
2024-02-26,102.24,102.32,101.29,101.85,1584950
2024-02-27,101.85,102.95,101.54,102.22,1156689
2024-02-28,102.22,103.02,100.31,100.87,1445338
2024-02-29,100.87,101.13,99.10,99.92,1589448
2024-03-01,99.92,101.06,99.09,100.24,1417911
2024-03-04,100.24,100.78,98.67,99.06,920286
2024-03-05,99.06,99.37,97.15,97.44,1384765
2024-03-06,97.44,98.50,96.52,98.03,1591626
2024-03-07,98.03,99.05,97.78,98.66,1058792
2024-03-08,98.66,98.90,96.90,97.53,1530215
2024-03-11,97.53,98.45,96.87,97.96,1459750
2024-03-12,97.96,98.62,95.78,96.66,1447612
2024-03-13,96.66,97.46,96.45,96.97,1452394
2024-03-14,96.97,97.76,95.43,96.37,1177086
2024-03-15,96.37,97.28,95.28,95.99,1019002
2024-03-18,95.99,96.17,94.17,95.03,1464551
2024-03-19,95.03,95.83,93.27,94.19,1360087
2024-03-20,94.19,94.73,93.72,93.89,909970
2024-03-21,93.89,95.68,93.37,95.04,1553537
2024-03-22,95.04,95.88,94.25,95.05,1047729
2024-03-25,95.05,95.36,94.44,94.70,1310506
2024-03-26,94.70,95.13,94.27,94.44,1537011
2024-03-27,94.44,94.90,93.87,94.44,1533007
2024-03-28,94.44,95.52,93.94,94.65,1272277
2024-03-29,94.65,95.21,94.21,95.14,1028175
2024-04-01,95.14,95.91,94.29,94.50,1231445
2024-04-02,94.50,96.08,94.16,95.53,1262844
2024-04-03,95.53,96.99,95.39,96.22,1292207
2024-04-04,96.22,96.54,95.47,96.24,1255399
2024-04-05,96.24,97.75,95.35,97.00,1210273
2024-04-08,97.00,98.42,96.48,97.90,1384911
2024-04-09,97.90,98.99,97.41,98.44,1559050
2024-04-10,98.44,100.45,97.51,99.57,1081714
2024-04-11,99.57,101.33,98.73,100.38,995994
2024-04-12,100.38,100.85,100.00,100.12,1068447
2024-04-15,100.12,100.80,98.93,99.72,1527918
2024-04-16,99.72,100.45,98.82,99.50,1000085
2024-04-17,99.50,101.95,99.24,100.98,1566752
2024-04-18,100.98,101.78,99.98,101.26,1482711
2024-04-19,101.26,101.73,100.38,100.93,1137381
2024-04-22,100.93,101.28,99.89,100.63,913638
2024-04-23,100.63,101.61,100.56,101.14,1132048
2024-04-24,101.14,102.30,101.02,101.76,1589558
2024-04-25,101.76,103.72,101.61,102.72,1085894
2024-04-26,102.72,103.53,101.47,101.78,990688
2024-04-29,101.78,102.71,100.88,101.72,1081026
2024-04-30,101.72,102.66,100.33,100.92,1390292
2024-05-01,100.92,101.03,99.22,99.92,1197721
2024-05-02,99.92,100.86,98.18,98.82,1461140
2024-05-03,98.82,99.67,97.59,97.70,1503942
2024-05-06,97.70,98.06,96.83,97.40,1548668
2024-05-07,97.40,97.56,96.07,96.60,1066905
2024-05-08,96.60,96.80,95.30,95.40,1041237
2024-05-09,95.40,95.72,93.89,94.62,1102972
2024-05-10,94.62,94.83,93.89,94.24,912714
2024-05-13,94.24,94.30,92.57,93.26,1285734
2024-05-14,93.26,93.73,91.26,92.13,974396
2024-05-15,92.13,92.80,91.65,92.37,1484229
2024-05-16,92.37,92.86,91.02,91.66,1587708
2024-05-17,91.66,92.43,90.18,90.83,1345183
2024-05-20,90.83,91.18,90.05,90.14,990873
2024-05-21,90.14,90.82,88.48,88.74,1014272
2024-05-22,88.74,89.49,86.63,87.40,1369380
2024-05-23,87.40,87.64,86.22,86.51,1221617
2024-05-24,86.51,86.92,85.13,85.39,1573250
2024-05-27,85.39,86.47,85.15,85.98,1575966
2024-05-28,85.98,86.32,85.20,85.25,1167138
2024-05-29,85.25,85.70,84.69,84.89,1253314
2024-05-30,84.89,85.15,83.51,83.62,1179657
2024-05-31,83.62,83.68,82.21,82.49,1062966
2024-06-03,82.49,82.96,81.86,82.50,1360280
2024-06-04,82.50,83.55,82.15,82.82,1128294
2024-06-05,82.82,83.89,82.21,83.73,1350253
2024-06-06,83.73,84.43,82.06,82.81,1339132
2024-06-07,82.81,84.01,82.66,83.32,1266630
2024-06-10,83.32,84.15,82.65,83.44,1478486
2024-06-11,83.44,84.53,82.86,83.77,1385328
2024-06-12,83.77,83.84,83.30,83.45,1152495
2024-06-13,83.45,84.15,82.44,82.93,1339436
2024-06-14,82.93,84.07,82.50,83.49,902320
2024-06-17,83.49,85.10,83.05,84.45,1274639
2024-06-18,84.45,85.28,83.82,85.19,1076535
2024-06-19,85.19,85.44,84.14,84.77,1043652
2024-06-20,84.77,86.58,84.33,85.74,1167792
2024-06-21,85.74,86.82,85.08,86.22,1331881
2024-06-24,86.22,87.17,86.05,87.06,1077758
2024-06-25,87.06,88.43,86.54,88.13,908728
2024-06-26,88.13,88.40,87.19,87.79,1384529
2024-06-27,87.79,89.04,87.32,88.75,1225263
2024-06-28,88.75,89.41,87.95,89.27,1039475
2024-07-01,89.27,91.73,89.21,90.88,1221279
2024-07-02,90.88,93.06,90.45,92.16,1088060
2024-07-03,92.16,93.04,91.86,92.09,1307030
2024-07-04,92.09,92.59,90.96,91.84,992823
2024-07-05,91.84,93.55,91.02,93.05,1392335
2024-07-08,93.05,93.89,92.45,92.92,917384
2024-07-09,92.92,93.41,91.80,92.25,1111365
2024-07-10,92.25,92.59,91.50,91.83,1488161
2024-07-11,91.83,92.53,90.28,91.05,984028
2024-07-12,91.05,92.92,90.22,92.24,1102883
2024-07-15,92.24,92.63,91.25,92.17,1312423
2024-07-16,92.17,92.59,91.72,92.01,933787
2024-07-17,92.01,92.79,90.93,91.22,1554912
2024-07-18,91.22,91.49,90.21,90.70,1032894
2024-07-19,90.70,91.56,89.58,90.38,1468373
2024-07-22,90.38,91.41,89.53,90.58,1284459
2024-07-23,90.58,90.99,89.90,90.90,1215602
2024-07-24,90.90,91.85,90.61,91.25,934283
2024-07-25,91.25,92.09,90.80,91.93,1140563
2024-07-26,91.93,92.62,90.28,91.18,1082118
2024-07-29,91.18,91.48,90.64,91.17,1176057
2024-07-30,91.17,91.36,89.84,90.06,1534171
2024-07-31,90.06,90.29,88.83,89.64,1597532
2024-08-01,89.64,89.81,88.89,89.10,963500
2024-08-02,89.10,89.22,88.07,88.31,1080850
2024-08-05,88.31,89.10,87.33,88.00,1188947
2024-08-06,88.00,88.48,86.99,87.35,1136742
2024-08-07,87.35,87.62,85.14,85.97,988111
2024-08-08,85.97,86.53,84.78,85.53,1051174
2024-08-09,85.53,85.77,84.26,84.62,1212100
2024-08-12,84.62,85.86,83.88,85.13,915267
2024-08-13,85.13,85.75,83.04,83.79,1231287
2024-08-14,83.79,83.83,83.26,83.61,1548779
2024-08-15,83.61,84.67,82.80,83.95,1073925
2024-08-16,83.95,84.11,82.43,82.88,1377452
2024-08-19,82.88,84.14,82.33,83.52,1435360
2024-08-20,83.52,84.00,83.18,83.25,1447609
2024-08-21,83.25,84.02,82.03,82.58,1112647
2024-08-22,82.58,82.82,81.22,81.75,1389007
2024-08-23,81.75,81.85,80.52,80.96,1308023
2024-08-26,80.96,81.17,80.26,80.76,907323
2024-08-27,80.76,81.16,79.68,80.46,1351202
2024-08-28,80.46,81.73,80.24,81.33,1072940
2024-08-29,81.33,83.00,81.05,82.41,915251
2024-08-30,82.41,83.21,82.04,82.64,1080079
2024-09-02,82.64,84.04,82.42,83.26,923868
2024-09-03,83.26,83.65,82.68,83.28,1038655
2024-09-04,83.28,84.89,82.84,84.25,1043653
2024-09-05,84.25,85.93,83.55,85.63,1061566
2024-09-06,85.63,86.29,85.25,85.53,1566348
2024-09-09,85.53,86.22,85.31,86.02,1191920
2024-09-10,86.02,87.72,85.86,86.90,1175421
2024-09-11,86.90,87.74,86.69,86.85,936288
2024-09-12,86.85,87.22,85.73,86.51,1518508
2024-09-13,86.51,88.44,85.70,87.57,1130469
2024-09-16,87.57,88.39,86.83,87.50,922325
2024-09-17,87.50,88.78,87.14,88.42,1132188
2024-09-18,88.42,88.47,88.02,88.30,1146026
2024-09-19,88.30,89.97,87.44,89.82,1045181
2024-09-20,89.82,90.80,89.07,90.06,1202714
2024-09-23,90.06,90.51,89.23,89.60,1543654
2024-09-24,89.60,89.95,88.61,89.41,921197
2024-09-25,89.41,90.39,88.72,89.66,928454
2024-09-26,89.66,89.76,88.23,89.05,1079911
2024-09-27,89.05,90.73,88.72,89.92,1090620
2024-09-30,89.92,91.77,89.65,91.19,1401645
2024-10-01,91.19,91.48,90.98,91.03,1428956
2024-10-02,91.03,92.72,90.17,92.12,916979
2024-10-03,92.12,92.58,90.77,91.65,1567737
2024-10-04,91.65,91.92,91.04,91.46,1245431
2024-10-07,91.46,92.61,90.72,92.40,1416941
2024-10-08,92.40,93.78,91.82,93.05,1129459
2024-10-09,93.05,93.42,91.80,92.53,955310
2024-10-10,92.53,93.24,91.42,91.68,945313
2024-10-11,91.68,92.21,90.10,90.42,1586179
2024-10-14,90.42,91.88,90.15,90.98,958857
2024-10-15,90.98,91.46,89.12,89.78,1212874
2024-10-16,89.78,90.18,88.28,88.84,1371876
2024-10-17,88.84,89.74,88.24,88.98,984815
2024-10-18,88.98,89.59,88.46,89.29,1161079
2024-10-21,89.29,89.58,89.04,89.36,1071738
2024-10-22,89.36,90.16,87.63,88.16,1128436
2024-10-23,88.16,89.03,87.01,87.47,1061966
2024-10-24,87.47,88.25,86.61,87.66,971632
2024-10-25,87.66,88.38,86.40,87.14,1540062
2024-10-28,87.14,87.43,85.59,85.73,1032701
2024-10-29,85.73,86.80,84.93,86.28,1160565
2024-10-30,86.28,87.04,86.02,86.63,1444443
2024-10-31,86.63,87.30,86.09,87.17,1333963
2024-11-01,87.17,87.52,86.07,86.23,1042783
2024-11-04,86.23,86.76,84.84,85.41,1042409
2024-11-05,85.41,85.72,83.56,84.14,1029601
2024-11-06,84.14,84.35,82.88,83.55,1283631
2024-11-07,83.55,83.67,82.16,82.51,1285096
2024-11-08,82.51,82.78,82.34,82.67,1386784
2024-11-11,82.67,82.93,82.14,82.43,1567232
2024-11-12,82.43,82.91,81.73,82.05,1191511
2024-11-13,82.05,83.64,81.72,82.81,1038041
2024-11-14,82.81,83.57,82.77,83.37,1531141
2024-11-15,83.37,84.06,83.00,83.37,1517986
2024-11-18,83.37,83.68,83.32,83.51,1286083
2024-11-19,83.51,84.82,83.39,84.05,1335536
2024-11-20,84.05,84.55,83.89,84.11,1098306
2024-11-21,84.11,85.30,83.98,84.51,1243356
2024-11-22,84.51,86.37,84.31,85.54,988655
2024-11-25,85.54,87.75,85.10,86.90,937362
2024-11-26,86.90,88.65,86.11,88.28,1334240
2024-11-27,88.28,89.68,87.58,89.50,1055452
2024-11-28,89.50,90.62,88.75,89.86,1028075
2024-11-29,89.86,90.24,89.35,89.83,1168503
2024-12-02,89.83,90.09,88.96,89.62,1528106
